iter	Passed	Remaining
0	2	2067
1	4	2076
2	6	2016
3	7	1926
4	9	1979
5	11	1981
6	14	2072
7	16	2107
8	19	2105
9	21	2097
10	23	2074
11	25	2078
12	26	2046
13	28	2011
14	30	2011
15	32	1990
16	34	1975
17	36	1988
18	38	1984
19	40	1984
20	42	1979
21	44	1971
22	46	1981
23	48	1973
24	50	1964
25	52	1964
26	54	1955
27	56	1949
28	57	1940
29	59	1927
30	61	1934
31	63	1933
32	65	1929
33	67	1927
34	69	1915
35	71	1903
36	73	1906
37	75	1901
38	76	1891
39	78	1888
40	80	1881
41	82	1872
42	83	1867
43	85	1857
44	87	1857
45	89	1858
46	91	1850
47	93	1848
48	95	1844
49	96	1837
50	98	1836
51	100	1832
52	102	1825
53	103	1821
54	105	1815
55	107	1807
56	109	1807
57	110	1802
58	112	1795
59	114	1795
60	116	1790
61	117	1783
62	119	1780
63	121	1771
64	122	1769
65	124	1766
66	126	1763
67	128	1757
68	130	1756
69	131	1752
70	133	1743
71	135	1740
72	136	1737
73	138	1733
74	140	1730
75	142	1727
76	143	1714
77	145	1714
78	146	1710
79	148	1702
80	149	1697
81	151	1696
82	153	1692
83	154	1687
84	156	1681
85	157	1677
86	159	1673
87	161	1672
88	163	1669
89	164	1664
90	166	1662
91	168	1660
92	169	1656
93	172	1660
94	173	1656
95	175	1652
96	177	1653
97	179	1649
98	180	1645
99	182	1646
100	184	1642
101	186	1638
102	187	1632
103	189	1629
104	190	1626
105	192	1625
106	194	1622
107	196	1619
108	197	1618
109	199	1615
110	201	1612
111	203	1612
112	205	1609
113	206	1606
114	208	1605
115	210	1602
116	211	1599
117	213	1598
118	215	1592
119	216	1589
120	218	1588
121	220	1586
122	222	1583
123	223	1582
124	225	1580
125	227	1577
126	229	1575
127	231	1574
128	232	1571
129	234	1570
130	236	1567
131	237	1564
132	240	1564
133	241	1562
134	243	1559
135	245	1560
136	247	1558
137	248	1555
138	251	1555
139	252	1552
140	254	1547
141	256	1549
142	258	1546
143	259	1543
144	261	1544
145	263	1543
146	265	1541
147	267	1540
148	269	1538
149	270	1533
150	272	1532
151	274	1530
152	276	1528
153	277	1526
154	279	1524
155	281	1522
156	283	1521
157	284	1518
158	286	1517
159	288	1516
160	290	1513
161	292	1512
162	294	1511
163	296	1508
164	297	1503
165	299	1502
166	300	1499
167	302	1498
168	304	1498
169	306	1496
170	308	1496
171	310	1495
172	312	1494
173	314	1494
174	317	1494
175	319	1495
176	320	1492
177	322	1489
178	324	1488
179	326	1487
180	328	1485
181	330	1484
182	331	1481
183	333	1479
184	335	1478
185	337	1475
186	338	1473
187	340	1471
188	342	1469
189	344	1467
190	346	1465
191	347	1463
192	349	1462
193	351	1460
194	352	1454
195	354	1452
196	356	1451
197	357	1449
198	359	1447
199	361	1446
200	363	1443
201	365	1441
202	366	1440
203	368	1437
204	370	1436
205	372	1434
206	373	1431
207	374	1426
